id	class	method	parent	flags	annotations	visibility	non-primitive-return	path
35	org.slot10.group75.mediaPlayer.MediaObject	getProperty(java.lang.String,boolean)	0	[false, false]	java.lang.SuppressWarnings	public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
36	org.slot10.group75.mediaPlayer.MediaObject	checkFile()	0	[]		protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
37	org.slot10.group75.mediaPlayer.MediaObject	isPlaying()	0	[]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
38	org.slot10.group75.mediaPlayer.MediaObject	isPaused()	0	[]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
39	org.slot10.group75.mediaPlayer.MediaObject	toString()	40	[]	java.lang.Override	public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
41	org.slot10.group75.mediaPlayer.MediaObject	readObject(java.io.ObjectInputStream)	0	[false]		private	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
42	org.slot10.group75.mediaPlayer.MediaObject	writeObject(java.io.ObjectOutputStream)	0	[false]		private	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
19	org.slot10.group75.mediaPlayer.MediaObject	updateProperties()	0	[]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
5	org.slot10.group75.mediaPlayer.MediaObject	startPlaying()	0	[]		protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
14	org.slot10.group75.mediaPlayer.MediaObject	preload()	0	[]		protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObject.java
43	org.slot10.group75.mediaPlayer.thread.MessagedBlockingThread	sendMessage(org.slot10.group75.mediaPlayer.thread.MessagedThreadMessage)	44	[false]	java.lang.Override	public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessagedBlockingThread.java
45	org.slot10.group75.mediaPlayer.thread.MessagedBlockingThread	pollMessage()	46	[]	java.lang.Override	protected	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessagedBlockingThread.java
47	org.slot10.group75.mediaPlayer.thread.MessagedBlockingThread	getQueue()	48	[]	java.lang.Override	public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessagedBlockingThread.java
49	org.slot10.group75.mediaPlayer.thread.MessagedThread	start()	50	[]	java.lang.Override	public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessagedThread.java
51	org.slot10.group75.mediaPlayer.thread.MessagedThread	run()	52	[]	java.lang.Override	public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessagedThread.java
25	org.slot10.group75.mediaPlayer.thread.MessagedThread	handleMessage()	0	[]		protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessagedThread.java
53	org.slot10.group75.mediaPlayer.thread.MessagedThread	handleBroadcastMessage(org.slot10.group75.mediaPlayer.thread.MessageBroadcasterMessage)	54	[false]	java.lang.SuppressWarnings	public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessagedThread.java
55	org.slot10.group75.mediaPlayer.thread.MessagedThread	noOperation()	0	[]		protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessagedThread.java
44	org.slot10.group75.mediaPlayer.thread.MessagedThread	sendMessage(org.slot10.group75.mediaPlayer.thread.MessagedThreadMessage)	0	[false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessagedThread.java
46	org.slot10.group75.mediaPlayer.thread.MessagedThread	pollMessage()	0	[]		protected	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessagedThread.java
48	org.slot10.group75.mediaPlayer.thread.MessagedThread	getQueue()	0	[]		protected	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessagedThread.java
29	org.slot10.group75.mediaPlayer.thread.MessagedThread	getMessageClass()	0	[]		protected	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessagedThread.java
54	org.slot10.group75.mediaPlayer.thread.BroadcastMessageReceiver	handleBroadcastMessage(org.slot10.group75.mediaPlayer.thread.MessageBroadcasterMessage)	0	[false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/BroadcastMessageReceiver.java
23	org.slot10.group75.mediaPlayer.thread.ProcessingThread	loop()	0	[]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/ProcessingThread.java
56	org.slot10.group75.mediaPlayer.UnsupportedMediaObjectTypeException	UnsupportedMediaObjectTypeException(java.lang.String)	0	[false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/UnsupportedMediaObjectTypeException.java
57	org.slot10.group75.mediaPlayer.thread.UnsupportedMessagedThreadMessageException	UnsupportedMessagedThreadMessageException(java.lang.String)	0	[false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/UnsupportedMessagedThreadMessageException.java
58	org.slot10.group75.mediaPlayer.thread.UnsupportedMessagedThreadMessageException	UnsupportedMessagedThreadMessageException()	0	[]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/UnsupportedMessagedThreadMessageException.java
59	org.slot10.group75.mediaPlayer.thread.MessagedThreadMessage	MessagedThreadMessage(int)	0	[false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessagedThreadMessage.java
60	org.slot10.group75.mediaPlayer.thread.MessagedThreadMessage	MessagedThreadMessage(int,T)	0	[false, false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessagedThreadMessage.java
61	org.slot10.group75.mediaPlayer.thread.MessagedThreadMessage	validateMessage(int)	0	[false]		protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessagedThreadMessage.java
62	org.slot10.group75.mediaPlayer.thread.MessagedThreadMessage	getMessage()	0	[]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessagedThreadMessage.java
63	org.slot10.group75.mediaPlayer.thread.MessagedThreadMessage	getParam()	0	[]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessagedThreadMessage.java
64	org.slot10.group75.mediaPlayer.thread.MessageBroadcasterMessage	MessageBroadcasterMessage(int,java.lang.Object)	0	[false, false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessageBroadcasterMessage.java
65	org.slot10.group75.mediaPlayer.thread.MessageBroadcasterMessage	validateMessage(int)	61	[false]	java.lang.Override	protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessageBroadcasterMessage.java
66	org.slot10.group75.mediaPlayer.thread.MessageBroadcasterMessage	createBroadcastMessage(org.slot10.group75.mediaPlayer.thread.MessagedThreadMessage)	0	[false]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessageBroadcasterMessage.java
67	org.slot10.group75.mediaPlayer.thread.MessageBroadcasterMessage	createBroadcastedMessageMessage(org.slot10.group75.mediaPlayer.thread.MessagedThreadMessage)	0	[false]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessageBroadcasterMessage.java
68	org.slot10.group75.mediaPlayer.thread.MessageBroadcasterMessage	createRegisterMessage(org.slot10.group75.mediaPlayer.thread.MessagedThread)	0	[false]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessageBroadcasterMessage.java
69	org.slot10.group75.mediaPlayer.thread.MessageBroadcasterMessage	createUnregisterMessage(org.slot10.group75.mediaPlayer.thread.MessagedThread)	0	[false]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/thread/MessageBroadcasterMessage.java
70	org.slot10.group75.mediaPlayer.MediaObjectData	MediaObjectData(java.lang.String,java.util.HashMap)	0	[false, false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObjectData.java
71	org.slot10.group75.mediaPlayer.MediaObjectPlayerMessage	MediaObjectPlayerMessage(int)	0	[false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObjectPlayerMessage.java
72	org.slot10.group75.mediaPlayer.MediaObjectPlayerMessage	MediaObjectPlayerMessage(int,org.slot10.group75.mediaPlayer.Playable)	0	[false, false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObjectPlayerMessage.java
73	org.slot10.group75.mediaPlayer.MediaObjectPlayerMessage	validateMessage(int)	61	[false]	java.lang.Override	protected	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/MediaObjectPlayerMessage.java
74	org.slot10.group75.mediaPlayer.Core	Core()	0	[]		private	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Core.java
75	org.slot10.group75.mediaPlayer.Core	getInstance()	0	[]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Core.java
76	org.slot10.group75.mediaPlayer.Core	getLock()	0	[]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Core.java
77	org.slot10.group75.mediaPlayer.Core	getUser()	0	[]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Core.java
78	org.slot10.group75.mediaPlayer.Core	getGUIHandler()	0	[]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Core.java
79	org.slot10.group75.mediaPlayer.Core	getResourceLoader()	0	[]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Core.java
80	org.slot10.group75.mediaPlayer.Core	loginUser(java.lang.String,java.lang.String)	0	[false, false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Core.java
81	org.slot10.group75.mediaPlayer.Core	setUser(org.slot10.group75.mediaPlayer.user.User)	0	[false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Core.java
82	org.slot10.group75.mediaPlayer.Core	calcIdUser(int)	0	[false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Core.java
83	org.slot10.group75.mediaPlayer.Core	uncaughtException(java.lang.Thread,java.lang.Throwable)	84	[false, false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Core.java
85	org.slot10.group75.mediaPlayer.Core	handleError(java.lang.Throwable)	0	[false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Core.java
86	org.slot10.group75.mediaPlayer.Core	handleCriticalError(java.lang.Throwable)	0	[false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Core.java
87	org.slot10.group75.mediaPlayer.Core	shutDown(int)	0	[false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Core.java
88	org.slot10.group75.mediaPlayer.Core	shutDown()	0	[]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/Core.java
89	org.slot10.group75.mediaPlayer.user.User	User(java.lang.String,java.lang.String)	0	[false, false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/user/User.java
90	org.slot10.group75.mediaPlayer.user.User	User()	0	[]		private	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/user/User.java
91	org.slot10.group75.mediaPlayer.user.User	load(java.lang.String)	0	[false]		private	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/user/User.java
92	org.slot10.group75.mediaPlayer.user.User	save()	0	[]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/user/User.java
93	org.slot10.group75.mediaPlayer.user.User	saveData(org.slot10.group75.mediaPlayer.user.UserData)	0	[false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/user/User.java
94	org.slot10.group75.mediaPlayer.user.User	validatePassword(java.lang.String,java.lang.String)	0	[false, false]		private	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/user/User.java
95	org.slot10.group75.mediaPlayer.user.User	getName()	0	[]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/user/User.java
96	org.slot10.group75.mediaPlayer.user.User	setName(java.lang.String)	0	[false]		private	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/user/User.java
97	org.slot10.group75.mediaPlayer.user.User	setPassword(java.lang.String)	0	[false]		private	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/user/User.java
98	org.slot10.group75.mediaPlayer.user.User	getPlaylist()	0	[]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/user/User.java
99	org.slot10.group75.mediaPlayer.user.User	setPlaylist(org.slot10.group75.mediaPlayer.Playlist)	0	[false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/user/User.java
100	org.slot10.group75.mediaPlayer.user.User	getRole()	0	[]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/user/User.java
101	org.slot10.group75.mediaPlayer.user.User	setRole(int)	0	[false]		private	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/user/User.java
102	org.slot10.group75.mediaPlayer.user.User	getUserData()	0	[]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/user/User.java
103	org.slot10.group75.mediaPlayer.user.User	updateUser(org.slot10.group75.mediaPlayer.user.UserData,java.lang.String,java.lang.String,int,org.slot10.group75.mediaPlayer.Playlist)	0	[false, false, false, false, false]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/user/User.java
104	org.slot10.group75.mediaPlayer.user.User	createUser(java.lang.String,java.lang.String,int)	0	[false, false, false]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/user/User.java
105	org.slot10.group75.mediaPlayer.user.User	deleteUser(java.lang.String)	0	[false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/user/User.java
106	org.slot10.group75.mediaPlayer.user.User	userExists(java.lang.String)	0	[false]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/user/User.java
107	org.slot10.group75.mediaPlayer.user.User	hash(java.lang.String,int)	0	[false, false]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/user/User.java
108	org.slot10.group75.mediaPlayer.user.User	hash(java.lang.String)	0	[false]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/user/User.java
109	org.slot10.group75.mediaPlayer.gui.GUIHandler	GUIHandler()	0	[]		private	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/gui/GUIHandler.java
110	org.slot10.group75.mediaPlayer.gui.GUIHandler	getInstance()	0	[]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/gui/GUIHandler.java
111	org.slot10.group75.mediaPlayer.gui.GUIHandler	getMediaPlayerFrame()	0	[]		public	true	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/gui/GUIHandler.java
112	org.slot10.group75.mediaPlayer.gui.GUIHandler	isRunning()	0	[]		public	false	/Users/kknock/RIPLE/taint/injection-experiment-gradle/mediaplayer/src/main/java/org/slot10/group75/mediaPlayer/gui/GUIHandler.java
